Source;Target;Type
10281;1285898;Undirected
10281;135877;Undirected
10281;1285898;Undirected
10281;1285898;Undirected
10281;258262;Undirected
10281;258262;Undirected
10281;135877;Undirected
10281;123867;Undirected
10300;151453;Undirected
10300;167467;Undirected
10300;167467;Undirected
10300;44921;Undirected
10397;386565;Undirected
11993;209090;Undirected
11993;20349;Undirected
11993;209090;Undirected
13552;120551;Undirected
13552;120551;Undirected
13552;120551;Undirected
13552;243348;Undirected
13552;261222;Undirected
13552;203082;Undirected
13552;243348;Undirected
13552;261222;Undirected
13552;155168;Undirected
13552;263090;Undirected
13552;203082;Undirected
13552;243348;Undirected
13552;261222;Undirected
18087;24966;Undirected
18087;24966;Undirected
18087;24966;Undirected
18087;62364;Undirected
18087;175949;Undirected
18087;62364;Undirected
18087;44673;Undirected
18401;18403;Undirected
18401;107645;Undirected
18401;74969;Undirected
18401;107645;Undirected
18401;107645;Undirected
18401;18403;Undirected
18401;18403;Undirected
18401;18402;Undirected
18401;19377;Undirected
18401;18403;Undirected
18401;18402;Undirected
18401;18403;Undirected
18401;18403;Undirected
18401;18403;Undirected
18401;18403;Undirected
18401;18402;Undirected
18401;129613;Undirected
18401;18403;Undirected
18401;18403;Undirected
18401;18403;Undirected
18401;1039401;Undirected
18401;18403;Undirected
18401;18403;Undirected
18401;18403;Undirected
18401;18402;Undirected
18401;18402;Undirected
18401;129613;Undirected
18401;18402;Undirected
18401;18403;Undirected
18401;175949;Undirected
18401;175949;Undirected
18401;175949;Undirected
18401;175949;Undirected
18401;175949;Undirected
18401;18403;Undirected
18401;18402;Undirected
18401;18403;Undirected
18401;18402;Undirected
18401;18403;Undirected
18401;18402;Undirected
18401;18402;Undirected
18401;18402;Undirected
18401;18402;Undirected
18401;18403;Undirected
18401;18402;Undirected
18401;18402;Undirected
18401;175949;Undirected
18401;18403;Undirected
18401;129613;Undirected
18401;107645;Undirected
18401;18402;Undirected
18401;18402;Undirected
18401;18403;Undirected
18401;18402;Undirected
18401;74969;Undirected
18401;74969;Undirected
18401;18402;Undirected
18401;18402;Undirected
18401;18402;Undirected
18401;113536;Undirected
18401;107645;Undirected
18401;18403;Undirected
18401;107645;Undirected
18401;18403;Undirected
18401;175949;Undirected
18401;18403;Undirected
18401;18403;Undirected
18401;18402;Undirected
18401;18402;Undirected
18401;18403;Undirected
18401;18402;Undirected
18401;18402;Undirected
18401;18402;Undirected
18401;18403;Undirected
